WARNING | 2023-04-19 08:42:34,506 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_terminal_name
WARNING | 2023-04-19 08:42:34,509 | cle.loader | The main binary is a position-independent executable. It is being loaded with a base address of 0x400000.
WARNING | 2023-04-19 08:42:34,511 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
DEBUG   | 2023-04-19 08:42:34,530 | arbiter.master_chief.sa_recon | Creating CFG
Identifying functions:   0%|          | 0/794 [00:00<?, ?it/s]INFO    | 2023-04-19 08:42:41,237 | arbiter.master_chief.sa_recon | Starting recon of 0x406000
INFO    | 2023-04-19 08:42:41,237 | arbiter.master_chief.sa_recon | Starting recon of 0x406020
INFO    | 2023-04-19 08:42:41,237 | arbiter.master_chief.sa_recon | Starting recon of 0x40602c
INFO    | 2023-04-19 08:42:41,237 | arbiter.master_chief.sa_recon | Starting recon of 0x406030
INFO    | 2023-04-19 08:42:41,237 | arbiter.master_chief.sa_recon | Starting recon of 0x406040
INFO    | 2023-04-19 08:42:41,237 | arbiter.master_chief.sa_recon | Starting recon of 0x406050
INFO    | 2023-04-19 08:42:41,237 | arbiter.master_chief.sa_recon | Starting recon of 0x406060
INFO    | 2023-04-19 08:42:41,237 | arbiter.master_chief.sa_recon | Starting recon of 0x406070
INFO    | 2023-04-19 08:42:41,237 | arbiter.master_chief.sa_recon | Starting recon of 0x406080
INFO    | 2023-04-19 08:42:41,237 | arbiter.master_chief.sa_recon | Starting recon of 0x406090
INFO    | 2023-04-19 08:42:41,237 | arbiter.master_chief.sa_recon | Starting recon of 0x4060a0
INFO    | 2023-04-19 08:42:41,237 | arbiter.master_chief.sa_recon | Starting recon of 0x4060b0
INFO    | 2023-04-19 08:42:41,237 | arbiter.master_chief.sa_recon | Starting recon of 0x4060c0
INFO    | 2023-04-19 08:42:41,237 | arbiter.master_chief.sa_recon | Starting recon of 0x4060d0
INFO    | 2023-04-19 08:42:41,237 | arbiter.master_chief.sa_recon | Starting recon of 0x4060e0
INFO    | 2023-04-19 08:42:41,238 | arbiter.master_chief.sa_recon | Starting recon of 0x4060f0
INFO    | 2023-04-19 08:42:41,238 | arbiter.master_chief.sa_recon | Starting recon of 0x406100
INFO    | 2023-04-19 08:42:41,238 | arbiter.master_chief.sa_recon | Starting recon of 0x406110
INFO    | 2023-04-19 08:42:41,238 | arbiter.master_chief.sa_recon | Starting recon of 0x406120
INFO    | 2023-04-19 08:42:41,238 | arbiter.master_chief.sa_recon | Starting recon of 0x406130
INFO    | 2023-04-19 08:42:41,238 | arbiter.master_chief.sa_recon | Starting recon of 0x406140
INFO    | 2023-04-19 08:42:41,238 | arbiter.master_chief.sa_recon | Starting recon of 0x406150
INFO    | 2023-04-19 08:42:41,238 | arbiter.master_chief.sa_recon | Starting recon of 0x406160
INFO    | 2023-04-19 08:42:41,238 | arbiter.master_chief.sa_recon | Starting recon of 0x406170
INFO    | 2023-04-19 08:42:41,238 | arbiter.master_chief.sa_recon | Starting recon of 0x406180
INFO    | 2023-04-19 08:42:41,238 | arbiter.master_chief.sa_recon | Starting recon of 0x406190
INFO    | 2023-04-19 08:42:41,238 | arbiter.master_chief.sa_recon | Starting recon of 0x4061a0
INFO    | 2023-04-19 08:42:41,238 | arbiter.master_chief.sa_recon | Starting recon of 0x4061b0
INFO    | 2023-04-19 08:42:41,238 | arbiter.master_chief.sa_recon | Starting recon of 0x4061c0
INFO    | 2023-04-19 08:42:41,238 | arbiter.master_chief.sa_recon | Starting recon of 0x4061d0
INFO    | 2023-04-19 08:42:41,239 | arbiter.master_chief.sa_recon | Starting recon of 0x4061e0
INFO    | 2023-04-19 08:42:41,239 | arbiter.master_chief.sa_recon | Starting recon of 0x4061f0
INFO    | 2023-04-19 08:42:41,239 | arbiter.master_chief.sa_recon | Starting recon of 0x406200
INFO    | 2023-04-19 08:42:41,239 | arbiter.master_chief.sa_recon | Starting recon of 0x406210
INFO    | 2023-04-19 08:42:41,239 | arbiter.master_chief.sa_recon | Starting recon of 0x406220
INFO    | 2023-04-19 08:42:41,239 | arbiter.master_chief.sa_recon | Starting recon of 0x406230
INFO    | 2023-04-19 08:42:41,239 | arbiter.master_chief.sa_recon | Starting recon of 0x406240
INFO    | 2023-04-19 08:42:41,239 | arbiter.master_chief.sa_recon | Starting recon of 0x406250
INFO    | 2023-04-19 08:42:41,239 | arbiter.master_chief.sa_recon | Starting recon of 0x406260
INFO    | 2023-04-19 08:42:41,239 | arbiter.master_chief.sa_recon | Starting recon of 0x406270
INFO    | 2023-04-19 08:42:41,239 | arbiter.master_chief.sa_recon | Starting recon of 0x406280
INFO    | 2023-04-19 08:42:41,239 | arbiter.master_chief.sa_recon | Starting recon of 0x406290
INFO    | 2023-04-19 08:42:41,240 | arbiter.master_chief.sa_recon | Starting recon of 0x4062a0
