WARNING | 2023-04-18 22:32:10,909 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: GSS_C_NT_HOSTBASED_SERVICE
WARNING | 2023-04-18 22:32:10,924 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: GSS_C_NT_USER_NAME
WARNING | 2023-04-18 22:32:10,933 | cle.loader | The main binary is a position-independent executable. It is being loaded with a base address of 0x400000.
WARNING | 2023-04-18 22:32:10,937 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
DEBUG   | 2023-04-18 22:32:10,982 | arbiter.master_chief.sa_recon | Creating CFG
Identifying functions:   0%|          | 0/6227 [00:00<?, ?it/s]INFO    | 2023-04-18 22:32:51,418 | arbiter.master_chief.sa_recon | Starting recon of 0x40a000
INFO    | 2023-04-18 22:32:51,421 | arbiter.master_chief.sa_recon | Starting recon of 0x40a020
INFO    | 2023-04-18 22:32:51,422 | arbiter.master_chief.sa_recon | Starting recon of 0x40a02d
INFO    | 2023-04-18 22:32:51,422 | arbiter.master_chief.sa_recon | Starting recon of 0x40a030
INFO    | 2023-04-18 22:32:51,422 | arbiter.master_chief.sa_recon | Starting recon of 0x40a03f
INFO    | 2023-04-18 22:32:51,422 | arbiter.master_chief.sa_recon | Starting recon of 0x40a040
INFO    | 2023-04-18 22:32:51,422 | arbiter.master_chief.sa_recon | Starting recon of 0x40a04f
INFO    | 2023-04-18 22:32:51,422 | arbiter.master_chief.sa_recon | Starting recon of 0x40a050
INFO    | 2023-04-18 22:32:51,422 | arbiter.master_chief.sa_recon | Starting recon of 0x40a05f
INFO    | 2023-04-18 22:32:51,422 | arbiter.master_chief.sa_recon | Starting recon of 0x40a060
INFO    | 2023-04-18 22:32:51,422 | arbiter.master_chief.sa_recon | Starting recon of 0x40a06f
INFO    | 2023-04-18 22:32:51,422 | arbiter.master_chief.sa_recon | Starting recon of 0x40a070
INFO    | 2023-04-18 22:32:51,423 | arbiter.master_chief.sa_recon | Starting recon of 0x40a07f
INFO    | 2023-04-18 22:32:51,423 | arbiter.master_chief.sa_recon | Starting recon of 0x40a080
INFO    | 2023-04-18 22:32:51,423 | arbiter.master_chief.sa_recon | Starting recon of 0x40a08f
INFO    | 2023-04-18 22:32:51,423 | arbiter.master_chief.sa_recon | Starting recon of 0x40a090
INFO    | 2023-04-18 22:32:51,423 | arbiter.master_chief.sa_recon | Starting recon of 0x40a09f
INFO    | 2023-04-18 22:32:51,423 | arbiter.master_chief.sa_recon | Starting recon of 0x40a0a0
