WARNING | 2023-04-18 22:45:51,900 | cle.loader | The main binary is a position-independent executable. It is being loaded with a base address of 0x400000.
DEBUG   | 2023-04-18 22:45:51,966 | arbiter.master_chief.sa_recon | Creating CFG
Identifying functions:   0%|          | 0/7875 [00:00<?, ?it/s]INFO    | 2023-04-18 22:47:37,157 | arbiter.master_chief.sa_recon | Starting recon of 0x410000
INFO    | 2023-04-18 22:47:37,157 | arbiter.master_chief.sa_recon | Starting recon of 0x410020
INFO    | 2023-04-18 22:47:37,157 | arbiter.master_chief.sa_recon | Starting recon of 0x41002d
INFO    | 2023-04-18 22:47:37,157 | arbiter.master_chief.sa_recon | Starting recon of 0x410030
INFO    | 2023-04-18 22:47:37,158 | arbiter.master_chief.sa_recon | Starting recon of 0x41003f
INFO    | 2023-04-18 22:47:37,158 | arbiter.master_chief.sa_recon | Starting recon of 0x410040
INFO    | 2023-04-18 22:47:37,158 | arbiter.master_chief.sa_recon | Starting recon of 0x41004f
INFO    | 2023-04-18 22:47:37,158 | arbiter.master_chief.sa_recon | Starting recon of 0x410050
INFO    | 2023-04-18 22:47:37,158 | arbiter.master_chief.sa_recon | Starting recon of 0x41005f
INFO    | 2023-04-18 22:47:37,158 | arbiter.master_chief.sa_recon | Starting recon of 0x410060
INFO    | 2023-04-18 22:47:37,158 | arbiter.master_chief.sa_recon | Starting recon of 0x41006f
INFO    | 2023-04-18 22:47:37,158 | arbiter.master_chief.sa_recon | Starting recon of 0x410070
INFO    | 2023-04-18 22:47:37,158 | arbiter.master_chief.sa_recon | Starting recon of 0x41007f
INFO    | 2023-04-18 22:47:37,158 | arbiter.master_chief.sa_recon | Starting recon of 0x410080
INFO    | 2023-04-18 22:47:37,158 | arbiter.master_chief.sa_recon | Starting recon of 0x41008f
INFO    | 2023-04-18 22:47:37,158 | arbiter.master_chief.sa_recon | Starting recon of 0x410090
INFO    | 2023-04-18 22:47:37,158 | arbiter.master_chief.sa_recon | Starting recon of 0x41009f
INFO    | 2023-04-18 22:47:37,158 | arbiter.master_chief.sa_recon | Starting recon of 0x4100a0
INFO    | 2023-04-18 22:47:37,158 | arbiter.master_chief.sa_recon | Starting recon of 0x4100af
INFO    | 2023-04-18 22:47:37,159 | arbiter.master_chief.sa_recon | Starting recon of 0x4100b0
INFO    | 2023-04-18 22:47:37,159 | arbiter.master_chief.sa_recon | Starting recon of 0x4100bf
INFO    | 2023-04-18 22:47:37,159 | arbiter.master_chief.sa_recon | Starting recon of 0x4100c0
INFO    | 2023-04-18 22:47:37,159 | arbiter.master_chief.sa_recon | Starting recon of 0x4100cf
INFO    | 2023-04-18 22:47:37,159 | arbiter.master_chief.sa_recon | Starting recon of 0x4100d0
INFO    | 2023-04-18 22:47:37,159 | arbiter.master_chief.sa_recon | Starting recon of 0x4100df
INFO    | 2023-04-18 22:47:37,159 | arbiter.master_chief.sa_recon | Starting recon of 0x4100e0
INFO    | 2023-04-18 22:47:37,159 | arbiter.master_chief.sa_recon | Starting recon of 0x4100ef
INFO    | 2023-04-18 22:47:37,159 | arbiter.master_chief.sa_recon | Starting recon of 0x4100f0
INFO    | 2023-04-18 22:47:37,159 | arbiter.master_chief.sa_recon | Starting recon of 0x4100ff
INFO    | 2023-04-18 22:47:37,159 | arbiter.master_chief.sa_recon | Starting recon of 0x410100
INFO    | 2023-04-18 22:47:37,159 | arbiter.master_chief.sa_recon | Starting recon of 0x41010f
INFO    | 2023-04-18 22:47:37,159 | arbiter.master_chief.sa_recon | Starting recon of 0x410110
INFO    | 2023-04-18 22:47:37,159 | arbiter.master_chief.sa_recon | Starting recon of 0x41011f
INFO    | 2023-04-18 22:47:37,159 | arbiter.master_chief.sa_recon | Starting recon of 0x410120
INFO    | 2023-04-18 22:47:37,159 | arbiter.master_chief.sa_recon | Starting recon of 0x41012f
INFO    | 2023-04-18 22:47:37,160 | arbiter.master_chief.sa_recon | Starting recon of 0x410130
INFO    | 2023-04-18 22:47:37,160 | arbiter.master_chief.sa_recon | Starting recon of 0x41013f
INFO    | 2023-04-18 22:47:37,160 | arbiter.master_chief.sa_recon | Starting recon of 0x410140
