WARNING | 2023-04-18 22:46:02,371 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: sd_bus_object_vtable_format
WARNING | 2023-04-18 22:46:02,376 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: string_hash_ops
WARNING | 2023-04-18 22:46:02,376 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: path_hash_ops
WARNING | 2023-04-18 22:46:02,376 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: trivial_hash_ops
WARNING | 2023-04-18 22:46:02,376 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: id128_hash_ops
WARNING | 2023-04-18 22:46:02,376 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gather_environment
WARNING | 2023-04-18 22:46:02,377 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: cgroup_io_limit_defaults
WARNING | 2023-04-18 22:46:02,377 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: syscall_filter_sets
WARNING | 2023-04-18 22:46:02,377 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: saved_argv
WARNING | 2023-04-18 22:46:02,377 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: __daylight
WARNING | 2023-04-18 22:46:02,377 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: __tzname
WARNING | 2023-04-18 22:46:02,377 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: saved_argc
WARNING | 2023-04-18 22:46:02,378 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: opterr
WARNING | 2023-04-18 22:46:02,417 | cle.loader | The main binary is a position-independent executable. It is being loaded with a base address of 0x400000.
WARNING | 2023-04-18 22:46:02,477 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
DEBUG   | 2023-04-18 22:46:02,652 | arbiter.master_chief.sa_recon | Creating CFG
Identifying functions:   0%|          | 0/10125 [00:00<?, ?it/s]INFO    | 2023-04-18 22:47:57,281 | arbiter.master_chief.sa_recon | Starting recon of 0x432000
