WARNING | 2023-04-19 01:01:18,909 | cle.loader | The main binary is a position-independent executable. It is being loaded with a base address of 0x400000.
DEBUG   | 2023-04-19 01:01:18,946 | arbiter.master_chief.sa_recon | Creating CFG
Identifying functions:   0%|          | 0/1062 [00:00<?, ?it/s]INFO    | 2023-04-19 01:01:26,492 | arbiter.master_chief.sa_recon | Starting recon of 0x407d98
INFO    | 2023-04-19 01:01:26,492 | arbiter.master_chief.sa_recon | Starting recon of 0x407db0
INFO    | 2023-04-19 01:01:26,494 | arbiter.master_chief.sa_recon | Starting recon of 0x407dbc
INFO    | 2023-04-19 01:01:26,494 | arbiter.master_chief.sa_recon | Starting recon of 0x407dc0
INFO    | 2023-04-19 01:01:26,494 | arbiter.master_chief.sa_recon | Starting recon of 0x407dd0
INFO    | 2023-04-19 01:01:26,494 | arbiter.master_chief.sa_recon | Starting recon of 0x407de0
INFO    | 2023-04-19 01:01:26,495 | arbiter.master_chief.sa_recon | Starting recon of 0x407df0
INFO    | 2023-04-19 01:01:26,495 | arbiter.master_chief.sa_recon | Starting recon of 0x407e00
INFO    | 2023-04-19 01:01:26,495 | arbiter.master_chief.sa_recon | Starting recon of 0x407e10
INFO    | 2023-04-19 01:01:26,495 | arbiter.master_chief.sa_recon | Starting recon of 0x407e20
INFO    | 2023-04-19 01:01:26,495 | arbiter.master_chief.sa_recon | Starting recon of 0x407e30
INFO    | 2023-04-19 01:01:26,495 | arbiter.master_chief.sa_recon | Starting recon of 0x407e40
INFO    | 2023-04-19 01:01:26,495 | arbiter.master_chief.sa_recon | Starting recon of 0x407e50
INFO    | 2023-04-19 01:01:26,495 | arbiter.master_chief.sa_recon | Starting recon of 0x407e60
INFO    | 2023-04-19 01:01:26,495 | arbiter.master_chief.sa_recon | Starting recon of 0x407e70
INFO    | 2023-04-19 01:01:26,495 | arbiter.master_chief.sa_recon | Starting recon of 0x407e80
INFO    | 2023-04-19 01:01:26,495 | arbiter.master_chief.sa_recon | Starting recon of 0x407e90
INFO    | 2023-04-19 01:01:26,495 | arbiter.master_chief.sa_recon | Starting recon of 0x407ea0
INFO    | 2023-04-19 01:01:26,495 | arbiter.master_chief.sa_recon | Starting recon of 0x407eb0
INFO    | 2023-04-19 01:01:26,495 | arbiter.master_chief.sa_recon | Starting recon of 0x407ec0
INFO    | 2023-04-19 01:01:26,495 | arbiter.master_chief.sa_recon | Starting recon of 0x407ed0
INFO    | 2023-04-19 01:01:26,495 | arbiter.master_chief.sa_recon | Starting recon of 0x407ee0
INFO    | 2023-04-19 01:01:26,495 | arbiter.master_chief.sa_recon | Starting recon of 0x407ef0
INFO    | 2023-04-19 01:01:26,495 | arbiter.master_chief.sa_recon | Starting recon of 0x407f00
INFO    | 2023-04-19 01:01:26,495 | arbiter.master_chief.sa_recon | Starting recon of 0x407f10
INFO    | 2023-04-19 01:01:26,496 | arbiter.master_chief.sa_recon | Starting recon of 0x407f20
INFO    | 2023-04-19 01:01:26,496 | arbiter.master_chief.sa_recon | Starting recon of 0x407f30
INFO    | 2023-04-19 01:01:26,496 | arbiter.master_chief.sa_recon | Starting recon of 0x407f40
INFO    | 2023-04-19 01:01:26,496 | arbiter.master_chief.sa_recon | Starting recon of 0x407f50
INFO    | 2023-04-19 01:01:26,496 | arbiter.master_chief.sa_recon | Starting recon of 0x407f60
INFO    | 2023-04-19 01:01:26,496 | arbiter.master_chief.sa_recon | Starting recon of 0x407f70
